Location_ID	Apogee_ID	ID
4217	2M00023036+8524194	1
4548	2M00023179+1521164	1
4590	2M00050265+0116236	1
4120	2M00062867+6955129	1
4590	2M00065234+0151397	1
4590	2M00065508+0154022	1
4217	2M00090703+8427517	1
4287	2M00134329+7346435	1
4119	2M00150792+6559126	1
4217	2M00170781+8551505	1
4250	2M00174625+5856272	1
4119	2M00245632+6731240	1
4250	2M00252677+5819348	0
4120	2M00254729+7011069	1
4250	2M00254914+5845342	0
4243	2M00265252+6359169	1
4120	2M00274757+6956505	1
4256	2M00280680+5558136	1
4250	2M00303743+5943247	0
4119	2M00304380+6752210	1
4256	2M00360002+5519491	1
4243	2M00370544+6247057	1
4286	2M00372323+4950469	0
4250	2M00373811+5912258	1
4476	2M00411929+1718359	1
4217	2M00430905+8407348	1
4476	2M00443313+1734287	1
4476	2M00443463+1719220	1
4476	2M00462111+1758470	1
4476	2M00470197+1751448	1
4217	2M01004285+8624021	1
4217	2M01013134+8424428	1
4217	2M01085752+8445142	1
4217	2M01193634+8435481	1
4217	2M01194897+8532293	1
4318	2M01232188+6220546	0
4477	2M01252951+1737245	1
4318	2M01325477+6205304	1
4217	2M01343480+8456365	1
4425	2M01345988+6651462	1
4217	2M01522822+8459249	1
4472	2M01525005-0353374	1
4472	2M01540092-0306019	1
4217	2M01561714+8458408	1
4472	2M01562189-0223547	1
4472	2M01583450-0349002	1
4416	2M01593686+6533283	1
4472	2M02001017-0307339	1
4478	2M02062664+1438073	1
4416	2M02064174+6556593	1
4309	2M02072992+5427212	1
4309	2M02082405+5454197	1
4478	2M02112068+1356170	1
4478	2M02112973+1359128	1
4478	2M02121177+1334232	1
4271	2M02270767+5924201	1
4271	2M02290160+6124289	1
4271	2M02353225+6048063	1
4479	2M02411197+0727401	1
4479	2M02424580+0735211	1
4479	2M02484723+0719196	1
4479	2M02491256+0815300	1
4205	2M03094422+7941129	1
4205	2M03095534+7933208	0
4551	2M03103688+6312022	1
4428	2M03110855+5251034	1
4551	2M03111284+6312062	1
4480	2M03122509+0021585	0
4480	2M03154293+0158412	1
4205	2M03160395+8020506	1
4311	2M03165675+7131025	0
4205	2M03170249+7945154	1
4480	2M03180004+0135522	0
4480	2M03191111+0043411	1
4480	2M03193359+0100209	1
4205	2M03203189+7918263	1
4471	2M03210718+0928264	1
4480	2M03211751+0007418	1
4554	2M03222918+5134159	1
4471	2M03235246+0710390	0
4471	2M03235380+0806598	1
4205	2M03243919+8032046	1
4587	2M03250916+3126099	1
4471	2M03253827+0734548	0
4311	2M03255900+7003421	1
4471	2M03260135+0816119	1
4471	2M03262324+0827228	1
4471	2M03272650+0900312	1
4471	2M03273158+0721380	0
4587	2M03283692+3117353	0
4587	2M03285425+3037402	1
4587	2M03290575+3116396	0
4587	2M03292204+3124153	1
4587	2M03302598+3102179	1
4205	2M03313107+7924571	0
4144	2M03322813+4728191	1
4205	2M03322956+7835151	1
4144	2M03361242+4651208	1
4144	2M03371290+4634201	1
4205	2M03374380+7906140	1
4205	2M03390336+7926498	1
4144	2M03393700+4531160	1
4259	2M03402639+2405238	1
4586	2M03403429+3200488	0
4259	2M03412688+2401025	0
4259	2M03421090+2405086	1
4586	2M03423215+3229291	1
4259	2M03424022+2359217	0
4259	2M03424238+2330103	0
4586	2M03430679+3148204	1
4259	2M03431306+2439194	0
4586	2M03432438+3238316	0
