Location_ID,Apogee_ID
4217,2M00023036+8524194
4548,2M00023179+1521164
4590,2M00050265+0116236
4120,2M00062867+6955129
4590,2M00065234+0151397
4590,2M00065508+0154022
4287,2M00134329+7346435
4119,2M00150792+6559126
4217,2M00170781+8551505
4250,2M00174625+5856272
4119,2M00245632+6731240
4120,2M00254729+7011069
4243,2M00265252+6359169
4120,2M00274757+6956505
4250,2M00303743+5943247
4256,2M00360002+5519491
4250,2M00373811+5912258
4476,2M00411929+1718359
4217,2M00430905+8407348
4476,2M00443313+1734287
4476,2M00443463+1719220
4476,2M00462111+1758470
4476,2M00470197+1751448
4217,2M01004285+8624021
4217,2M01085752+8445142
4217,2M01193634+8435481
4217,2M01194897+8532293
4477,2M01252951+1737245
4318,2M01325477+6205304
4217,2M01343480+8456365
4425,2M01345988+6651462
4472,2M01525005-0353374
4472,2M01540092-0306019
4217,2M01561714+8458408
4472,2M01562189-0223547
4472,2M01583450-0349002
4416,2M01593686+6533283
4472,2M02001017-0307339
4478,2M02062664+1438073
4309,2M02072992+5427212
4309,2M02082405+5454197
4478,2M02112068+1356170
4478,2M02112973+1359128
4478,2M02121177+1334232
4271,2M02270767+5924201
4271,2M02290160+6124289
4271,2M02353225+6048063
4479,2M02411197+0727401
4479,2M02424580+0735211
4479,2M02484723+0719196
4479,2M02491256+0815300
4205,2M03094422+7941129
4551,2M03103688+6312022
4428,2M03110855+5251034
4551,2M03111284+6312062
4480,2M03154293+0158412
4205,2M03160395+8020506
4205,2M03170249+7945154
4480,2M03191111+0043411
4480,2M03193359+0100209
4205,2M03203189+7918263
4471,2M03210718+0928264
4480,2M03211751+0007418
4554,2M03222918+5134159
4471,2M03235380+0806598
4205,2M03243919+8032046
4587,2M03250916+3126099
4311,2M03255900+7003421
4471,2M03260135+0816119
4471,2M03262324+0827228
4471,2M03272650+0900312
4587,2M03285425+3037402
4587,2M03302598+3102179
4144,2M03322813+4728191
4205,2M03322956+7835151
4144,2M03371290+4634201
4205,2M03374380+7906140
4144,2M03393700+4531160
4259,2M03402639+2405238
4259,2M03421090+2405086
4586,2M03423215+3229291
4586,2M03430679+3148204
4259,2M03442467+2451535
4586,2M03443482+3211180
4586,2M03444173+3212022
4586,2M03444495+3213364
4586,2M03444508+3214130
4586,2M03444770+3219117
4586,2M03445561+3209198
4586,2M03450783+3102335
4259,2M03451698+2515478
4586,2M03452214+3202040
4259,2M03454440+2413132
4259,2M03460958+2242374
4259,2M03470376+2336588
4259,2M03475286+2259341
4259,2M03481526+2342036
4586,2M03485329+3132297
4152,2M03491989+4915280
4259,2M03512664+2504369
4152,2M03522636+4916273
4152,2M03533894+4857085
4205,2M03534224+8002056
4152,2M03560117+5003253
4205,2M03563567+7857072
4151,2M03565396+5256029
4205,2M03584558+7841217
4205,2M04012018+7942296
4151,2M04015510+5336178
4151,2M04030722+5150045
4151,2M04043545+5153371
4556,2M04173043+4406020
4556,2M04181465+4443163
4153,2M04182393+5423539
4153,2M04242736+5458531
4325,2M04300665+3520323
4325,2M04354999+3615107
4320,2M04373881+4650216
4325,2M04393682+3553432
4257,2M04435712+3901413
4597,2M04460281+2832101
4257,2M04475318+3844458
4257,2M04485954+3749255
4555,2M04491848+4954075
4121,2M04511439+5747361
4257,2M04523015+3925462
4121,2M04533610+5803507
4272,2M04594994+4041082
4560,2M04595013+3638144
4555,2M05003852+4942070
4272,2M05022965+4142533
4122,2M05093315+2444492
4122,2M05105162+2513182
4122,2M05112994+2358532
4122,2M05162317+2312004
4122,2M05175081+2458194
4122,2M05191931+2341179
4562,2M05194502+2905511
4122,2M05195099+2443435
4145,2M05224865+4246159
4562,2M05240556+2947008
4155,2M05240837+2711064
4592,2M05245445+3821524
4155,2M05254800+2740009
4145,2M05284223+4359528
4155,2M05284986+2645461
4321,2M05291630+3549565
4321,2M05292628+3555070
4155,2M05304951+2532292
4155,2M05312674+2759565
4593,2M05314675+3220153
4155,2M05322647+2633298
4559,2M05334627+3958411
4611,2M05342386-0515403
4611,2M05343976-0524254
4289,2M05344507+6223530
4155,2M05345094+2720083
4611,2M05345143-0513295
4611,2M05345563-0601036
4611,2M05350326-0449209
4611,2M05352860-0455036
4612,2M05353295-0512047
4611,2M05355408-0528327
4326,2M05383316+4556445
4326,2M05391675+4539368
4564,2M05393994+2448170
4564,2M05395208+2231019
4326,2M05402330+4617163
4615,2M05412451-0856320
4431,2M05420795+3849453
4564,2M05421216+2224407
4615,2M05424242-0848140
4615,2M05432464-0813275
4327,2M05433509+1217291
4431,2M05461892+3821171
4154,2M05463489+2738029
4566,2M05470607+2125457
4599,2M05472048+0223043
4599,2M05502340+0420349
4566,2M05512611+1933322
4290,2M05522211-0404416
4156,2M06021800+3209465
4156,2M06031578+2952126
4156,2M06033949+3135536
4156,2M06051239+3006116
4258,2M06062902+1349573
4156,2M06064279+3129067
4418,2M06073901+2416594
4418,2M06082178+2446030
4418,2M06084439+2411512
4418,2M06092708+2413452
4418,2M06093334+2355597
4418,2M06104948+2423062
4149,2M06115599+3325505
4571,2M06125177+1140142
4565,2M06125378+2343533
4573,2M06130913+0640221
4601,2M06132183+4057302
4565,2M06133561+2433362
4123,2M06144376-0118064
4595,2M06153889+1942122
4604,2M06155451+5532531
4601,2M06155982+3958486
4149,2M06160851+3259089
4123,2M06174372-0139422
4123,2M06175702+0006358
4604,2M06182810+5621575
4123,2M06184995-0042094
4273,2M06212323+1701485
4273,2M06215296+1455598
4567,2M06232739+2123478
4567,2M06262967+2054126
4146,2M06282903+1810490
4266,2M06285336-3229535
4146,2M06294483+1642357
4605,2M06295087+5118010
4266,2M06295728-3210256
4158,2M06300433+0118350
4158,2M06314851-0033164
4605,2M06340628+5038344
4411,2M06350057+0428276
4605,2M06351099+5023151
4278,2M06361902+3308443
4323,2M06372176+0949348
4572,2M06410360+0930290
