Location_ID,Apogee_ID,ID
4217,2M00090703+8427517,1
4256,2M00280680+5558136,1
4119,2M00304380+6752210,1
4243,2M00370544+6247057,1
4217,2M01013134+8424428,1
4217,2M01522822+8459249,1
4416,2M02064174+6556593,1
4587,2M03292204+3124153,1
4144,2M03361242+4651208,1
4205,2M03390336+7926498,1
4259,2M03433710+2338322,1
4586,2M03441776+3204476,1
4259,2M03472578+2508330,1
4259,2M03473478+2248048,1
4152,2M03474790+4803183,1
4259,2M03505403+2309119,1
4151,2M03585279+5155016,1
4145,2M05190968+4415144,1
4155,2M05313079+2526234,1
4612,2M05331624-0613195,1
4611,2M05334558-0500407,1
4613,2M05342626-0646093,1
4612,2M05342767-0537192,1
4611,2M05343087-0425070,1
4612,2M05343903-0455288,1
4611,2M05345220-0440117,1
4612,2M05350138-0615175,1
4611,2M05351113-0536511,1
4612,2M05351121-0517209,1
4612,2M05351214-0531388,1
4612,2M05351236-0543184,1
4613,2M05351580-0646291,1
4613,2M05351798-0604430,1
4611,2M05352813-0523064,1
4611,2M05352989-0512103,1
4613,2M05352992-0644151,1
4611,2M05353154-0540278,1
4611,2M05353645-0421304,1
4612,2M05354311-0424556,1
4613,2M05354337-0622195,1
4612,2M05354463-0450098,1
4611,2M05360185-0517365,1
4612,2M05363704-0504412,1
4593,2M05364077+3156122,1
4614,2M05370100-0735469,1
4593,2M05370453+3112114,1
4614,2M05371161-0723239,1
4615,2M05395953-0832307,1
4615,2M05402047-0911572,1
4615,2M05405530-0813169,1
4615,2M05411524-0752111,1
4615,2M05413037-0912268,1
4615,2M05413338-0759562,1
4615,2M05420800-0812028,1
4615,2M05422459-0805077,1
4615,2M05424913-0820370,1
4561,2M05504191+3525569,1
4149,2M06203704+3406470,1
4149,2M06213904+3231006,1
4158,2M06290694+0058170,1
4411,2M06344417+0553228,1
4411,2M06352350+0512369,1
4572,2M06411336+0938137,1
4572,2M06411484+0932358,1
4572,2M06411928+0938071,1
4157,2M06421342+0159208,1
4608,2M07204065+3026474,1
4582,2M07240918-0854337,1
